model	adaptor	trigger	query	result	need
government/citizen-services/permit-management	ToDocumentStorageService	ReviewerAssigned	RetrieveDocument	DocumentResult	a reviewer needing the documents fetched back before they can read them
government/citizen-services/permit-management	ToFeeCalculationService	ApplicationSubmitted	CalculatePermitFees	PermitFeesResult	an application needing its fees worked out from the schedule
government/citizen-services/permit-management	ToGISService	ApplicationSubmitted	GetParcelInfo	ParcelInfoResult	an application needing the parcel it names to be real
government/citizen-services/permit-management	ToGISService	ReviewerAssigned	GetZoningRequirements	ZoningRequirementsResult	a reviewer needing the zoning rules that apply to the parcel
government/citizen-services/permit-management	ToInspectionSchedulingService	InspectorAssigned	GetAvailableSlots	AvailableSlotsResult	an assigned inspector needing a slot to be booked into
government/public-safety/emergency-dispatch	ToAVLService	IncidentCreated	FindNearestUnits	NearestUnitsResult	a new incident needing the closest units to it
government/public-safety/emergency-dispatch	ToAVLService	UnitEnRoute	GetUnitLocation	UnitLocationResult	a unit en route needing its position tracked
government/public-safety/emergency-dispatch	ToE911Service	IncidentDetailsUpdated	GetCallRecording	CallRecordingResult	details being corrected needing the original call heard again
government/public-safety/emergency-dispatch	ToGISService	IncidentCreated	GetAddressFromCoordinates	AddressResult	an incident reported by position needing a street address
government/public-safety/emergency-dispatch	ToGISService	IncidentDetailsUpdated	GetCoordinatesFromAddress	CoordinatesResult	a corrected address needing coordinates to dispatch against
government/public-safety/emergency-dispatch	ToGISService	PriorityUpgraded	GetDispatchZone	DispatchZoneResult	an upgraded priority needing the zone that decides who responds
government/public-safety/emergency-dispatch	ToGISService	UnitDispatched	GetHazards	HazardsResult	a dispatched unit needing to know what is dangerous at the address
government/public-safety/emergency-dispatch	ToRMSService	IncidentCreated	GetLocationHistory	LocationHistoryResult	a new incident needing what has happened at this address before
government/public-safety/emergency-dispatch	ToRMSService	UnitArrived	GetPersonWarnings	PersonWarningsResult	a unit on scene needing warnings about who they will meet
government/public-safety/records-management	ToDMVService	InvolvedPartyAdded	GetDriverInfo	DriverInfoResult	a party added to a report needing their licence record
government/public-safety/records-management	ToDMVService	VehicleAdded	GetVehicleRegistration	VehicleRegistrationResult	a vehicle added to a report needing its registered keeper
government/public-safety/records-management	ToJailService	ArrestRecorded	GetInmateStatus	InmateStatusResult	a recorded arrest needing to know whether the person is still held
government/public-safety/records-management	ToNCICService	InvolvedPartyAdded	RunPersonCheck	PersonCheckResult	a party added to a report needing a wants-and-warrants check
government/public-safety/records-management	ToNCICService	PropertyAdded	RunPropertyCheck	PropertyCheckResult	property added to a report needing to be checked as stolen
government/public-safety/records-management	ToNCICService	VehicleAdded	RunVehicleCheck	VehicleCheckResult	a vehicle added to a report needing to be checked as stolen
government/regulatory/compliance-reporting	ToDocumentManagementService	SectionAdded	GetDocument	DocumentContent	a section needing the document it cites
government/regulatory/compliance-reporting	ToRegulatoryCalendarService	ReportCreated	GetUpcomingDeadlines	UpcomingDeadlines	a new report needing the deadline it must meet
government/regulatory/compliance-reporting	ToRegulatoryPortalService	ReportSubmitted	GetFilingStatus	FilingStatus	submission being when the portal's own view starts to matter
government/regulatory/licensing	ToBackgroundCheckService	CredentialsVerified	GetCheckStatus	CheckStatusResult	credentials clearing being when the outstanding check becomes the last thing waited on
government/regulatory/licensing	ToContinuingEducationService	ApplicationSubmitted	GetCECredits	CECreditsResult	an application needing the education credits claimed on it to be real
government/regulatory/licensing	ToExamAdministrationService	ExamResultRecorded	GetAvailableExamDates	AvailableDatesResult	a recorded result being when a resit date may be needed
healthcare/clinical/appointment-scheduling	ToPatientService	AppointmentScheduled	GetPatientInfo	PatientInfo	a scheduled appointment needing the patient's record behind the name
healthcare/clinical/appointment-scheduling	ToProviderScheduleService	AppointmentRescheduled	GetAvailability	AvailabilityResult	rescheduling needing to know when the provider is next free
healthcare/clinical/care-coordination	ToPatientService	CarePlanCreated	GetPatientConditions	PatientConditions	a new care plan needing the conditions it is meant to address
healthcare/clinical/care-coordination	ToProviderDirectoryService	ReferralCreated	FindSpecialist	SpecialistList	a referral needing a specialist who takes this patient
healthcare/clinical/clinical-encounter	ToPatientRecordService	EncounterStarted	GetPatient	PatientRecord	an encounter starting needing the chart of the person in front of you
healthcare/hospitals/admission-discharge	ToBedManagementService	AdmissionCreated	GetAvailableBeds	AvailableBedList	admission being when a bed must be found
healthcare/hospitals/admission-discharge	ToPatientRegistration	AdmissionCreated	GetPatientDemographics	PatientDemographics	and of who the patient is
healthcare/hospitals/admission-discharge	ToPatientRegistration	AdmissionCreated	GetInsuranceInfo	InsuranceInfo	admission raising the question of who pays
healthcare/hospitals/lab-orders	ToEHRIntegration	LabOrderPlaced	GetPatientOrders	PatientOrderHistory	a new order needing the patient's existing ones to avoid duplicating a draw
healthcare/hospitals/nursing-workflow	ToADTService	PatientsAssigned	GetPatientLocation	CensusList	assigned patients needing to know which beds they are in
healthcare/hospitals/nursing-workflow	ToADTService	ShiftStarted	GetUnitCensus	CensusList	a shift starting needing the unit's census for the round
healthcare/hospitals/nursing-workflow	ToMedicationAdministration	ShiftStarted	GetDueMedications	DueMedicationList	a nurse taking the floor needing to know what is due
healthcare/hospitals/nursing-workflow	ToMedicationAdministration	TaskCreated	GetMedicationHistory	AdministrationHistory	a task needing what was already given before it is given again
healthcare/hospitals/nursing-workflow	ToOrderManagement	PatientsAssigned	GetActiveOrders	OrderList	assignment being when the nurse inherits the orders standing against their patients
healthcare/hospitals/nursing-workflow	ToOrderManagement	ShiftStarted	GetOrdersByUnit	OrderList	and the unit's whole order load being what the shift is planned against
healthcare/hospitals/operating-room	ToAnesthesiaService	CaseScheduled	GetAnesthesiologistSchedule	AnesthesiologistSchedule	a scheduled case needing an anaesthetist who is free for it
healthcare/hospitals/operating-room	ToPreOpService	CaseScheduled	GetPatientClearances	PatientClearances	and a patient who has been cleared for it
healthcare/hospitals/operating-room	ToSterileSupplyService	CaseScheduled	GetInstrumentSetAvailability	InstrumentSetAvailability	and the instrument sets the procedure needs
healthcare/payer/claims-adjudication	ToAuthorizationService	ClaimSubmitted	CheckAuthorization	AuthorizationResult	a submitted claim needing the prior authorisation it relies on
healthcare/payer/claims-adjudication	ToBenefitsService	ClaimSubmitted	GetBenefits	BenefitInfo	a submitted claim needing the member's benefit design to price it
healthcare/payer/claims-adjudication	ToEligibilityService	ClaimSubmitted	CheckEligibility	EligibilityResult	a submitted claim needing the member to have been covered on the date of service
healthcare/payer/claims-adjudication	ToProviderContractService	ClaimAdjudicated	GetContractRates	ContractRates	an adjudicated claim needing the contracted rate it pays at
hospitality/events/event-registration	ToDiscountService	DiscountApplied	ValidateDiscountCode	DiscountValidation	applying a code being when it must be proved good
hospitality/events/event-registration	ToEventCatalogService	RegistrationCreated	GetEventDetails	EventDetails	a new registration needing the event's date, place and capacity
hospitality/events/event-registration	ToEventCatalogService	RegistrationTransferred	GetEvents	EventList	a transfer needing the other events it could move to
hospitality/events/event-registration	ToSessionCapacityService	SessionRegistered	CheckSessionCapacity	SessionCapacity	registering for a session being when its remaining capacity decides the answer
hospitality/events/event-registration	ToTicketAvailabilityService	RegistrationCreated	CheckAvailability	TicketAvailability	a registration being unfulfillable if no ticket is left
hospitality/events/venue-management	ToCateringService	CateringSet	GetCateringPackages	CateringPackages	choosing catering needing what the caterer actually offers
hospitality/events/venue-management	ToPricingService	BookingCreated	CalculateBookingPrice	BookingPrice	a new booking needing a price for the space and the hours
hospitality/events/venue-management	ToResourceInventoryService	BookingCreated	GetAvailableResources	AvailableResources	a booking needing to know what the venue can supply
hospitality/events/venue-management	ToSpaceAvailabilityService	BookingCreated	SearchAvailableSpaces	AvailableSpaces	and what else is free if it is not
hospitality/events/venue-management	ToSpaceAvailabilityService	BookingCreated	CheckSpaceAvailability	SpaceAvailability	and whether the space it wants is free
hospitality/food-service/catering-management	ToInventoryService	MenuItemAdded	CheckIngredientAvailability	IngredientAvailability	each item added needing its ingredients to exist
hospitality/food-service/catering-management	ToMenuCatalogService	MenuItemAdded	GetMenuItemDetails	MenuItemDetails	an item added to an order needing its recipe and allergens
hospitality/food-service/catering-management	ToMenuCatalogService	OrderCreated	GetMenuItems	MenuCatalog	a new order needing the menu it can be built from
hospitality/food-service/catering-management	ToPricingService	OrderConfirmed	CalculateOrderTotal	OrderPricing	a confirmed order needing its total before payment is taken
hospitality/food-service/catering-management	ToStaffSchedulingService	OrderConfirmed	GetAvailableStaff	AvailableStaff	a confirmed order needing people free to work it
hospitality/food-service/restaurant-operations	ToMenuService	ItemAdded	GetItemDetails	ItemDetails	an item added needing its price and its recipe
hospitality/food-service/restaurant-operations	ToMenuService	OrderCreated	GetMenuItems	MenuItems	an order starting needing the menu it is chosen from
hospitality/food-service/restaurant-operations	ToReservationService	OrderCreated	GetReservation	ReservationDetails	and the booking the table was held under
hospitality/food-service/restaurant-operations	ToTableManagementService	OrderCreated	GetAvailableTables	AvailableTables	an order arriving being when a table must be found for it
hospitality/lodging/guest-services	ToStaffDispatchService	ServiceRequestCreated	GetAvailableStaff	AvailableStaffResult	a request needing someone free to do it
hospitality/lodging/hotel-reservations	ToLoyaltyProgramService	ReservationCreated	GetMemberStatus	MemberStatus	the guest's standing deciding the rate and the room before anything is confirmed
hospitality/lodging/property-management	ToHousekeepingManagementService	RoomStatusChanged	GetHousekeepingQueue	HousekeepingQueueResult	a status change reordering the round that must be walked
hospitality/lodging/property-management	ToInventoryService	PartsAwaited	GetInventoryLevels	InventoryLevelsResult	waiting on parts needing to know what is actually in stock
hospitality/lodging/property-management	ToMaintenanceManagementService	MaintenanceReported	GetOpenWorkOrders	OpenWorkOrdersResult	a new fault needing the work already outstanding on that room
hospitality/lodging/property-management	ToQualityManagementService	RoomInspected	GetQualityMetrics	QualityMetricsResult	an inspection being judged against the standard it is held to
hospitality/lodging/property-management	ToReservationService	RoomBlocked	GetRoomReservations	RoomReservationsResult	a blocked room needing the reservations that must be moved
hospitality/lodging/property-management	ToStaffSchedulingService	WorkOrderOpened	GetScheduledStaff	ScheduledStaffResult	an opened work order needing someone on shift to take it
hospitality/lodging/reservation-system	ToLoyaltyProgramService	ReservationCreated	GetMemberTier	MemberTierResult	the guest's tier deciding the rate and the room
hospitality/lodging/reservation-system	ToRoomManagementService	ReservationCreated	GetAvailableRooms	AvailableRoomsResult	a reservation needing a room that is free for its dates
hospitality/travel/airline-reservations	ToFlightSearchService	FlightSegmentChanged	GetFlightDetails	FlightDetails	a changed segment needing the new flight's times and aircraft
hospitality/travel/airline-reservations	ToFlightSearchService	ReservationCreated	SearchFlights	FlightSearchResults	a new reservation needing flights that fit the journey
hospitality/travel/airline-reservations	ToPricingService	SeatSelected	CalculateFare	FareCalculation	a chosen seat needing the fare that goes with it
hospitality/travel/airline-reservations	ToSeatInventoryService	ReservationCreated	GetAvailableSeats	AvailableSeats	a booking needing the seat map before a seat can be chosen
hospitality/travel/car-rental	ToInsuranceProviderService	RentalCreated	GetInsuranceOptions	InsuranceOptions	a rental needing the cover it can be sold with
hospitality/travel/car-rental	ToPricingService	RentalCreated	CalculateRentalPrice	RentalPrice	a new rental needing a price for the car, the days and the extras
hospitality/travel/car-rental	ToVehicleAvailabilityService	RentalCreated	SearchAvailableVehicles	AvailableVehicles	a rental needing a vehicle free at that branch and those dates
hospitality/travel/tour-operations	ToDepartureAvailabilityService	BookingCreated	CheckAvailability	DepartureAvailability	a booking needing places left on the departure it names
hospitality/travel/tour-operations	ToGuideAssignmentService	BookingConfirmed	GetAvailableGuides	AvailableGuides	a confirmed booking needing a guide free to lead it
hospitality/travel/tour-operations	ToTourCatalogService	BookingCreated	GetTourDetails	TourDetails	a new booking needing the tour's dates, capacity and itinerary
hospitality/travel/tour-operations	ToTourCatalogService	BookingCancelled	SearchTours	TourSearchResults	a cancellation needing other tours to offer instead
insurance/property-casualty/policy-management	ToAgencyManagementService	PolicyIssued	GetAgentInfo	AgentInfo	issuance needing the producer the policy is credited to
insurance/property-casualty/policy-management	ToRatingEngineService	RenewalOffered	GetRenewalPremium	RenewalPremiumCalculation	the price for the term now being offered is what the renewal offer carries
insurance/property-casualty/policy-management	ToRatingEngineService	PolicyIssued	GetPremiumCalculation	PremiumCalculation	issuance needing the premium the policy is written at
insurance/property-casualty/policy-management	ToUnderwritingService	EndorsementAdded	GetRiskEvaluation	RiskEvaluation	an endorsement changing the risk that was priced
investment/asset-management/client-reporting	ToComplianceRegistry	ReportGenerated	GetRequiredDisclosures	RequiredDisclosures	a report needing the disclosures it is obliged to carry
investment/asset-management/client-reporting	ToMarketDataProvider	PerformanceCalculated	GetBenchmarkReturns	BenchmarkReturns	calculated performance needing a benchmark to be judged against
investment/asset-management/client-reporting	ToMarketDataProvider	PortfolioDataAttached	GetSecurityPrices	SecurityPrices	attached holdings needing prices to be valued at
investment/asset-management/client-reporting	ToPortfolioSystem	ReportComposed	GetAccountInfo	AccountInfo	a composed report needing the account it is addressed to
investment/asset-management/client-reporting	ToPortfolioSystem	ReportGenerated	GetPortfolioHoldings	PortfolioHoldings	a generated report needing the holdings it is about
investment/asset-management/client-reporting	ToPortfolioSystem	ReportApproved	GetTransactionHistory	TransactionHistory	an approved report needing the transactions behind its figures
investment/asset-management/investment-portfolio	ToMarketDataFeed	BenchmarkCompared	GetBenchmarkReturn	BenchmarkReturn	a benchmark comparison needing the benchmark's own return
investment/asset-management/investment-portfolio	ToMarketDataFeed	TradeFilled	GetSecurityPrice	SecurityPrice	a filled trade needing the market price to mark it at
investment/private-equity/portfolio-management	ToFundAdministrationService	CompanyAcquired	GetFundDetails	FundDetails	an acquisition needing the fund's terms to book it against
investment/private-equity/portfolio-management	ToLegalDocumentService	BoardMemberAppointed	GetDocuments	DocumentList	an appointment needing the constitutional papers it is made under
investment/private-equity/portfolio-management	ToMarketDataService	ValuationUpdated	GetComparableValuations	ComparableSet	an updated valuation needing comparable companies to stand on
investment/private-equity/portfolio-management	ToMarketDataService	InvestmentExited	GetPrecedentTransactions	PrecedentTransaction	an exit needing precedent deals to judge the price against
investment/private-equity/portfolio-operations	ToFinancialReportingSystem	FinancialsUpdated	GetHistoricalFinancials	HistoricalFinancials	new figures meaning nothing without the series they extend
investment/private-equity/portfolio-operations	ToFundManagementSystem	CompanyOnboarded	GetFundDetails	FundDetails	onboarding needing the fund's terms to book against
investment/private-equity/portfolio-operations	ToLegalComplianceSystem	BoardMeetingRecorded	GetComplianceStatus	ComplianceStatus	a board meeting needing the company's standing in front of it
investment/venture-capital/deal-flow	ToCompanyResearchService	DealCreated	GetCompanyInfo	CompanyResearch	a new deal needing what is publicly known about the company
investment/venture-capital/deal-flow	ToCompanyResearchService	MeetingRecorded	GetFounderBackground	FounderBackground	a meeting needing the founder's history before the room forms a view
investment/venture-capital/deal-flow	ToDocumentManagementService	DealCreated	GetDealDocuments	DealDocuments	a new deal needing whatever is already filed on the company
investment/venture-capital/deal-flow	ToMarketDataService	TermsProposed	GetComparableDeals	ComparableDeals	proposed terms needing comparable deals to be sane against
investment/venture-capital/deal-flow	ToMarketDataService	ThesisWritten	GetSectorData	SectorAnalysis	a written thesis needing the sector's own numbers behind it
investment/venture-capital/fund-administration	ToCustodianSystem	CallPaymentReceived	GetAccountBalance	AccountBalance	a receipt needing the custodian's own balance to reconcile to
investment/venture-capital/fund-administration	ToRegulatoryFiling	LpReportGenerated	GetFilingStatus	FilingStatus	a generated report needing to know what has already been filed
investment/venture-capital/fund-management	ToBankingService	CapitalCallIssued	GetAccountBalance	AccountBalance	a call needing the account it will be paid into
investment/venture-capital/fund-management	ToFundAccounting	NAVUpdated	GetFundNAV	FundNAV	the administrator's NAV being what the fund's own figure is reconciled to
investment/venture-capital/portfolio-management	ToLegalSystem	BoardSeatAssigned	GetComplianceStatus	ComplianceStatus	a board seat needing the company's standing behind it
investment/venture-capital/portfolio-management	ToMarketIntelligence	InvestmentMarkedDown	GetCompanyValuation	CompanyValuation	a markdown needing an outside valuation to justify it
investment/venture-capital/portfolio-management	ToMarketIntelligence	MetricRecorded	GetMarketTrends	MarketTrends	a recorded metric needing the trend it should be read against
logistics/fulfillment/order-fulfillment	ToCarrierSystem	OrderShipped	GetTrackingStatus	TrackingStatus	dispatch being when the carrier starts having a status worth asking for
logistics/fulfillment/order-fulfillment	ToCarrierSystem	OrderPacked	GetShipmentRates	ShipmentRates	a packed order has the weight and size a rate needs, and the rates are what the carrier is selected 
logistics/fulfillment/order-fulfillment	ToWarehouseSystem	FulfillmentOrderCreated	CheckInventoryAvailability	InventoryAvailability	an order being unfulfillable without stock
logistics/fulfillment/returns-processing	ToShippingCarrier	ShipmentRecorded	GetTrackingStatus	TrackingStatus	a recorded shipment being when the carrier has something to report
logistics/supply-chain/order-fulfillment	ToInventoryManagement	PickTasksAssigned	CheckAvailability	InventoryAvailability	assigning picks needing the stock to actually be on the shelf
logistics/supply-chain/order-fulfillment	ToShippingCarrier	PickingCompleted	GetShippingRates	ShippingRates	picking finishing being when the parcel's size and weight are settled
logistics/supply-chain/supplier-management	ToComplianceRegistry	SupplierRegistered	CheckCompliance	ComplianceResult	a new supplier being unqualified until it is checked
logistics/supply-chain/supplier-management	ToProcurementSystem	PerformanceRecorded	GetSupplierSpend	SupplierSpend	performance being judged partly on what was spent
logistics/warehousing/inventory-control	ToERPSystem	InventoryItemCreated	GetProductInfo	ProductInfo	a new item needing the master data behind it
logistics/warehousing/inventory-control	ToPurchasingSystem	CycleCountRecorded	GetPurchaseOrderStatus	PurchaseOrderStatus	a count that disagrees needing to know what is still on order
logistics/warehousing/inventory-management	ToBarcodeService	StockReceived	GetBarcode	BarcodeData	receipt being when goods must be identified to be put away
logistics/warehousing/inventory-management	ToProcurementService	CycleCountRecorded	GetPurchaseOrderStatus	PurchaseOrderStatus	a count that disagrees needing to know what is still on order
logistics/warehousing/inventory-management	ToWarehouseManagementService	StockReceived	GetSlottingRecommendation	SlottingRecommendation	arriving goods need a location decided for them, and the recommendation is where they are put away
logistics/warehousing/inventory-management	ToWarehouseManagementService	StockTransferred	GetLocationCapacity	LocationCapacity	a transfer needing room at the place it is going to
logistics/warehousing/warehouse-management	ToProductCatalogContext	InventoryReceived	GetProductDetails	ProductDetailsResult	received stock needing the catalogue's dimensions and handling rules
manufacturing/discrete/assembly-operations	ToInventoryService	AssemblyOrderCreated	CheckComponentAvailability	ComponentAvailability	an order being unstartable without its components
manufacturing/discrete/assembly-operations	ToQualityService	DefectRecorded	GetDefectCodes	DefectCodeList	a recorded defect needing the code list to be classified against
manufacturing/discrete/assembly-operations	ToQualityService	AssemblyStarted	GetInspectionPlan	InspectionPlan	an assembly starting needing the plan by which it will be inspected
manufacturing/discrete/assembly-operations	ToWorkOrderService	AssemblyOrderCreated	GetWorkOrderDetails	WorkOrderDetails	a new assembly order needing the parent work order it belongs to
manufacturing/discrete/bill-of-materials	ToCostingService	BOMReleased	GetBOMRollupCost	BOMCostRollup	a released bill needing its rolled-up cost
manufacturing/discrete/bill-of-materials	ToCostingService	ItemAdded	GetStandardCost	StandardCost	each item needing the standard it is costed at
manufacturing/discrete/bill-of-materials	ToEngineeringChangeService	ItemUpdated	GetEngineeringChange	EngineeringChange	a changed item needing the engineering change that authorised it
manufacturing/discrete/bill-of-materials	ToInventoryService	ItemAdded	GetComponentAvailability	ComponentAvailability	an added item needing to know whether the component is on hand
manufacturing/discrete/bill-of-materials	ToInventoryService	BOMReleased	GetMultipleComponentAvailability	BOMAvailabilityCheck	a released BOM needing every component checked at once
manufacturing/discrete/bill-of-materials	ToProductDataService	ItemUpdated	GetComponentInfo	ComponentInfo	an updated item needing the component master to agree
manufacturing/discrete/bill-of-materials	ToProductDataService	BOMCreated	GetProductInfo	ProductInfo	a new BOM needing the product it builds
manufacturing/discrete/work-order-management	ToBillOfMaterialsService	WorkOrderCreated	GetBOM	BillOfMaterials	a new work order needing the parts list it will consume
manufacturing/discrete/work-order-management	ToEquipmentService	WorkOrderReleased	GetEquipmentStatus	EquipmentStatus	release needing the machine to be fit to run
manufacturing/discrete/work-order-management	ToQualityManagementService	OperationCompleted	GetInspectionPlan	InspectionPlan	a completed operation needing the plan it is inspected against
manufacturing/discrete/work-order-management	ToRoutingService	WorkOrderReleased	GetRouting	ManufacturingRouting	a released work order needing the sequence of operations to run
manufacturing/discrete/work-order-management	ToSchedulingService	WorkOrderCreated	GetWorkCenterLoad	WorkCenterLoad	a new order needing to know how loaded the centre already is
manufacturing/machining/cnc-operations	ToMaintenanceService	CycleCompleted	GetPMSchedule	PMSchedule	each cycle bringing the machine nearer its service interval
manufacturing/machining/cnc-operations	ToQualityService	MachineSetup	GetSPCLimits	SPCLimits	setup being when the limits a run is judged against must be loaded
manufacturing/machining/cnc-operations	ToToolManagementService	ProgramLoaded	GetToolLife	ToolLifeStatus	a loaded program needing the tools it calls for to have life left
manufacturing/machining/cnc-operations	ToToolManagementService	MachineSetup	GetToolOffsets	ToolOffsets	setup needing the offsets the tools actually carry
manufacturing/machining/precision-manufacturing	ToCMMIntegration	InspectionPlanUpdated	GetCMMPrograms	CMMProgramList	a changed plan needing the programs available to run it
manufacturing/machining/precision-manufacturing	ToCMMIntegration	CMMResultRecorded	GetCMMStatus	CMMStatus	a result arriving being when the machine's own state matters
manufacturing/machining/precision-manufacturing	ToCertificationService	InspectionPlanCreated	GetComplianceStandards	ComplianceStandards	and which standards it is written against
manufacturing/machining/precision-manufacturing	ToCertificationService	InspectionPlanCreated	GetCertificateRequirements	CertificateRequirements	the plan needing to know what the certificate will have to show
manufacturing/machining/precision-manufacturing	ToGageCalibrationService	InspectionPlanCreated	GetCalibrationsDue	CalibrationsDueList	and whether the gauges it names are still in date
manufacturing/machining/precision-manufacturing	ToGageCalibrationService	MeasurementRecorded	GetGageCalibration	GageCalibrationStatus	each measurement being only as good as the gauge that took it
manufacturing/maintenance/asset-lifecycle	ToFinancialSystem	ValuationUpdated	GetAssetFinancials	AssetFinancials	a revaluation needing what the ledger currently carries
manufacturing/maintenance/asset-lifecycle	ToMaintenanceSystem	AssetInstalled	GetUpcomingMaintenance	UpcomingMaintenanceResult	installation being when the service calendar starts
manufacturing/maintenance/asset-lifecycle	ToMaintenanceSystem	MaintenanceRecorded	GetMaintenanceHistory	MaintenanceHistoryResult	a new record needing what came before it
manufacturing/maintenance/asset-lifecycle	ToProcurementService	AssetRegistered	GetPurchaseOrder	PurchaseOrderDetails	registration needing the order the asset arrived on
manufacturing/maintenance/asset-lifecycle	ToProcurementService	AssetTransferred	GetVendorInfo	VendorInfo	a transfer needing to know who supplied it
manufacturing/process/batch-processing	ToInventoryService	IngredientCharged	GetMaterialLot	MaterialLotDetails	charging an ingredient needing the lot it came from
manufacturing/process/batch-processing	ToLaboratoryService	BatchCompleted	GetCertificateOfAnalysis	CertificateOfAnalysis	a finished batch needing the analysis that releases it
manufacturing/process/batch-processing	ToRecipeManagement	BatchCreated	GetRecipe	RecipeDetails	a new batch needing the recipe it will be made to
manufacturing/process/batch-processing	ToRecipeManagement	BatchRejected	GetRecipeVersions	RecipeVersionList	a rejected batch needing to know which recipe version made it
manufacturing/process/quality-control	ToCAPAService	InspectionCreated	GetOpenCAPAsForProduct	OpenCAPAs	and an inspection needing the product's open actions before it starts
manufacturing/process/quality-control	ToCAPAService	NCRInitiated	GetCAPAStatus	OpenCAPAs	a non-conformance needing to know what corrective action is already open
manufacturing/process/quality-control	ToLaboratoryInformationSystem	InspectionCreated	GetLabCapacity	LabCapacity	an inspection being unschedulable without knowing the lab can take it
manufacturing/process/quality-control	ToLaboratoryInformationSystem	TestResultRecorded	GetTestMethodDetails	TestMethodDetails	a result meaning nothing without the method that produced it
manufacturing/process/quality-control	ToProductionService	SampleCollected	GetLotDetails	LotDetails	a sample being meaningless without the lot it came from
manufacturing/process/quality-control	ToProductionService	InspectionRejected	GetRelatedLots	RelatedLots	a rejection needing the lots that share its cause
