56	+Appointment.RecordPatientContact	firstName:String(1,100)=askAnswer.firstName;lastName:String(1,100)=askAnswer.lastName;phone:String(10,15)=askAnswer.phone	
57	Appointment.RescheduleAppointment	newTime=prompt("the provider's next free time in askAnswer.schedules"),rescheduleReason=prompt("the requested time was not free"),rescheduledBy=prompt("the provider schedule service")	guard=the requested time is not free in askAnswer.schedules
58	CarePlan.AddGoal	goal=prompt("a goal for the first of askAnswer.conditions the plan does not yet address")	
59	CarePlan.AddCareTeamMember	member=prompt("the first of askAnswer.providers, as the referred specialist")	
60	Encounter.AddClinicalNote	note=prompt("a note carrying the allergies, medications and conditions in askAnswer")	
61	Admission.AssignBed	bedId=prompt("the first of askAnswer.beds"),unitId=prompt("its unit"),unitName=prompt("its unit name"),roomNumber=prompt("its room"),bedNumber=prompt("its bed number"),accommodationType=prompt("its accommodation type")	guard=askAnswer.totalAvailable is greater than zero
62	+Admission.RecordDemographics	mrn:String(1,20)=askAnswer.mrn;firstName:String(1,100)=askAnswer.firstName;lastName:String(1,100)=askAnswer.lastName;dateOfBirth:Date=askAnswer.dateOfBirth	
63	+Admission.RecordInsurance	primaryInsurance:String(1,200)=askAnswer.primaryInsurance;policyNumber:String(1,50)=askAnswer.policyNumber;verified:Boolean=askAnswer.verified	
64	LabOrder.CancelOrder	cancelledBy=prompt("the EHR, for duplication"),cancelledAt=prompt("now"),reason=prompt("an identical order is already open in askAnswer.orders")	guard=askAnswer.orders already holds an open order for the same test
65	+NurseShift.RecordPatientLocations	patients:CensusRecord*=askAnswer.patients	
66	NurseShift.AssignPatients	nurseId=shiftStarted.nurseId,patientIds=prompt("the patients in askAnswer.patients"),assignedBy=prompt("the charge nurse"),acuityScore=prompt("their combined acuity")	
67	NurseShift.CreateTask	taskId=prompt("a new task id"),patientId=prompt("the patient of the first medication in askAnswer.medications"),taskType=prompt("medication"),description=prompt("that medication"),priority=prompt("its priority"),dueTime=prompt("when it is due")	
68	NurseShift.HoldTask	taskId=taskCreated.taskId,holdReason=prompt("already administered per askAnswer.records")	guard=askAnswer.records shows the same medication already given
69	NurseShift.CreateTask	taskId=prompt("a new task id"),patientId=prompt("the patient of the first of askAnswer.orders"),taskType=prompt("its order type"),description=prompt("that order"),priority=prompt("its priority"),dueTime=prompt("when it is due")	
70	NurseShift.CreateTask	taskId=prompt("a new task id"),patientId=prompt("the patient of the first of askAnswer.orders"),taskType=prompt("its order type"),description=prompt("that order"),priority=prompt("its priority"),dueTime=prompt("when it is due")	
71	SurgicalCase.ConfirmCase	anesthesiologistId=askAnswer.anesthesiologistId,surgicalTeam=prompt("the team assigned to the case"),preferenceCard=prompt("the surgeon's preference card")	guard=askAnswer.availableSlots covers the scheduled start
72	SurgicalCase.CancelCase	cancellationReason=prompt("clearance not obtained"),cancellationDetails=askAnswer.clearanceNotes,cancelledBy=prompt("the pre-op service"),cancelledAt=prompt("now"),rescheduleRequested=prompt("true")	guard=not askAnswer.medicalClearance or not askAnswer.anesthesiaClearance
73	SurgicalCase.CancelCase	cancellationReason=prompt("instrument sets unavailable"),cancellationDetails=prompt("the sets in askAnswer.unavailable"),cancelledBy=prompt("sterile supply"),cancelledAt=prompt("now"),rescheduleRequested=prompt("true")	guard=askAnswer.unavailable is not empty and askAnswer.alternates is empty
74	Claim.PendClaim	reason=prompt("no prior authorization"),notes=prompt("what askAnswer says about the authorization")	guard=not askAnswer.authorized
75	Claim.PendClaim	reason=prompt("service not covered by the member's benefits"),notes=prompt("what askAnswer says about coverage, copay and coinsurance")	guard=not askAnswer.covered
76	Claim.DenyClaim	denialReason=prompt("member not eligible on the date of service"),explanation=prompt("the eligibility window askAnswer gives")	guard=not askAnswer.eligible
77	Claim.ApproveClaim	payment=prompt("a payment at askAnswer.allowedAmount, in or out of network per askAnswer.isInNetwork")	
78	Registration.ApplyDiscountCode	discountCode=prompt("no code: the one applied was invalid, so it is withdrawn")	guard=not askAnswer.valid
79	Registration.UpdateAttendeeInfo	attendee=prompt("the attendee with the event's date and place from askAnswer.event on the registration")	
80	Registration.TransferRegistration	newAttendee=registrationTransferred.newAttendee	guard=the transfer needs a different event among askAnswer.events
81	Registration.UnregisterFromSession	sessionId=sessionRegistered.sessionId	guard=askAnswer.spotsRemaining is zero
82	Registration.AddToWaitlist	position=prompt("the next waitlist position")	guard=not askAnswer.available and askAnswer.waitlistAvailable
83	Booking.SetCatering	catering=prompt("the package in askAnswer.packages that matches what was chosen")	
84	+Booking.RecordPrice	pricing:BookingPricing=askAnswer.pricing	
85	Booking.AddResource	resource=prompt("the first of askAnswer.resources the event needs")	
86	Booking.ChangeBookingPeriod	newPeriod=prompt("a period in which one of askAnswer.spaces is free")	guard=the requested space was not free
87	Booking.CancelBooking	reason=prompt("the space is taken by askAnswer.conflictingBookings"),cancelledBy=prompt("the space availability service")	guard=not askAnswer.available
88	CateringOrder.RemoveMenuItem	itemId=prompt("the item just added")	guard=not askAnswer.available
89	+CateringOrder.RecordItemDetails	ingredients:String(1,100)+=askAnswer.ingredients;preparationTime:Duration=askAnswer.preparationTime	
90	CateringOrder.AddMenuItem	item=prompt("the first of askAnswer.items the customer asked for"),quantity=prompt("its quantity"),specialRequests=prompt("none")	
91	CateringOrder.RecordPayment	amount=askAnswer.depositRequired,paymentMethod=prompt("the method in orderConfirmed.payment"),reference=prompt("the deposit reference")	
92	CateringOrder.AssignStaff	staffId=prompt("the first of askAnswer.staff"),role=prompt("their role")	
93	TableOrder.VoidItem	lineNumber=prompt("the line just added"),reason=prompt("item unavailable per askAnswer"),authorizedBy=prompt("the menu service")	guard=not askAnswer.available
94	TableOrder.AddItem	menuItem=prompt("the first of askAnswer.menuItems the guests chose"),quantity=prompt("its quantity"),modifications=prompt("none"),seatNumber=prompt("the seat")	
95	+TableOrder.RecordReservation	reservationId:UUID=askAnswer.reservationId;guestName:String(1,100)=askAnswer.guestName;specialRequests:String(1,500)?=askAnswer.specialRequests	
96	+TableOrder.RecordTableOptions	tables:TableInfo+=askAnswer.tables	
97	ServiceRequest.AssignStaff	assignment=prompt("the first of askAnswer.staff, assigned to the request")	
98	+Reservation.RecordLoyaltyStatus	loyaltyNumber:String(1,50)=askAnswer.loyaltyNumber;tier:String(1,50)=askAnswer.tier;points:Natural=askAnswer.points	
99	Room.AssignHousekeeper	assignment=prompt("an assignment at the position askAnswer.priorityOrder gives this room")	
100	WorkOrder.ResumeWork	roomId=prompt("the room the work order is for")	guard=askAnswer.inventoryItems holds the parts awaited
101	Room.ReportMaintenance	request=prompt("the request merged with the open work in askAnswer.workOrders on this room")	guard=askAnswer.workOrders is empty
102	Room.UpdateRoomStatus	newStatus=prompt("the status the inspection earns against askAnswer.inspectionPassRate"),statusChangeReason=prompt("inspection judged against the quality standard")	
103	Room.BlockRoom	blocking=prompt("the blocking extended to cover askAnswer.reservations that must be moved")	guard=askAnswer.reservations is not empty
104	WorkOrder.AssignWorkOrder	roomId=prompt("the room the work order is for")	guard=askAnswer.staff is not empty
105	Reservation.ModifyReservation	newStay=prompt("the stay as booked"),newRate=prompt("the rate askAnswer.tier entitles the guest to")	
106	Reservation.AssignRoom	room=prompt("the first of askAnswer.rooms")	guard=askAnswer.totalAvailable is greater than zero
107	Reservation.ChangeFlightSegment	segmentNumber=flightSegmentChanged.segmentNumber,newFlight=prompt("askAnswer.flight with its times and aircraft filled in")	guard=askAnswer.flight differs from what the segment holds
108	Reservation.ChangeFlightSegment	segmentNumber=prompt("the first segment"),newFlight=prompt("the first of askAnswer.outboundFlights that fits")	guard=the journey's segments are not yet flights
109	Reservation.ProcessPayment	paymentMethod=prompt("the passenger's method"),paymentToken=prompt("a token for askAnswer.pricing")	
110	Reservation.SelectSeat	segmentNumber=prompt("the first segment"),seat=prompt("the first of askAnswer.seats the passenger accepts")	
111	Rental.SelectInsurance	insurance=prompt("the first of askAnswer.options the customer takes")	
112	Rental.ProcessFinalCharges	charges=askAnswer.charges	
113	Rental.CreateRental	customer=rentalCreated.customer,vehicle=prompt("the first of askAnswer.vehicles"),period=rentalCreated.period	guard=rentalCreated.vehicle is not among askAnswer.vehicles
114	TourBooking.CancelBooking	reason=prompt("no places left on the departure"),requestRefund=prompt("true")	guard=not askAnswer.available
115	+TourBooking.AssignGuide	guide:GuideInfo=prompt("the first of askAnswer.guides")	
116	+TourBooking.RecordTourDetails	tour:TourInfo=askAnswer.tour	
117	+TourBooking.RecordAlternativeTours	tours:TourInfo+=askAnswer.tours	
118	+Policy.RecordProducer	agentId:UUID=askAnswer.agentId;agencyName:String(1,200)=askAnswer.agencyName;commissionRate:Decimal(5,4)=askAnswer.commissionRate	
119	Policy.ProcessRenewal	renewal=prompt("the renewal priced at askAnswer.renewalPremium")	
120	Policy.BindPolicy	paymentFrequency=prompt("the frequency askAnswer.premium is written at")	
121	Policy.SuspendPolicy	suspensionReason=prompt("underwriting declined the endorsed risk: askAnswer.decision with askAnswer.conditions")	guard=askAnswer.decision is a decline
122	ClientReport.ComposeReport	disclosures=prompt("askAnswer.disclosures"),commentary=prompt("the commentary for the period")	
123	ClientReport.CalculatePerformance	performance=prompt("the performance restated against askAnswer.totalReturn for the benchmark")	
124	ClientReport.AttachPortfolioData	holdings=prompt("the holdings priced at askAnswer.pricedAt"),transactions=prompt("the period's transactions")	
125	ClientReport.DistributeReport	deliveryMethod=prompt("the delivery method on file for askAnswer.accountId")	
126	ClientReport.AttachPortfolioData	holdings=prompt("askAnswer.holdings"),transactions=prompt("the period's transactions")	
127	ClientReport.AttachPortfolioData	holdings=prompt("the holdings already attached"),transactions=prompt("the transactions askAnswer.summary covers")	
128	Portfolio.CompareBenchmark	periodStartDate=askAnswer.periodStart,periodEndDate=askAnswer.periodEnd	guard=the comparison was made without the benchmark's own return
129	Portfolio.AnalyzeRisk	asOfDate=prompt("the date of askAnswer.asOfTime")	
130	PortfolioCompany.UpdateCompanyInfo	company=prompt("the company with askAnswer.fundId and askAnswer.fundName as the fund it is booked against")	
131	PortfolioCompany.UpdateCompanyInfo	company=prompt("the company with askAnswer.documents recorded as its constitutional papers")	
132	PortfolioCompany.UpdateValuation	valuation=prompt("the valuation restated against askAnswer.medianMultiple for askAnswer.industry")	guard=the updated valuation is outside askAnswer.lowMultiple to askAnswer.highMultiple
133	PortfolioCompany.UpdateValuation	valuation=prompt("the exit valued against askAnswer.evRevenueMultiple")	guard=the exit price differs from what askAnswer implies
134	PortfolioCompany.RecordOperationalKPIs	kpis=prompt("the KPIs derived from askAnswer.periods extended by the new figures")	
135	PortfolioCompany.OnboardCompany	companyName=companyOnboarded.companyName,fundId=askAnswer.fundId,industry=prompt("the industry"),acquisitionDate=prompt("the acquisition date"),investedCapital=prompt("the capital invested"),exitStrategy=prompt("the exit strategy")	guard=the onboarding named a fund askAnswer does not confirm
136	PortfolioCompany.RecordBoardMeeting	meeting=prompt("the meeting minuted with askAnswer.pendingFilings noted")	guard=not askAnswer.isCompliant
137	Deal.AddNote	content=prompt("what askAnswer says of the company: funding, competitors, news"),author=prompt("the company research service")	
138	Deal.AddNote	content=prompt("the founder's history in askAnswer"),author=prompt("the company research service")	
139	Deal.AddNote	content=prompt("the documents in askAnswer.documents already filed"),author=prompt("the document management service")	
140	Deal.UpdateMetrics	metrics=prompt("the metrics with askAnswer.averageValuation and askAnswer.averageRaise as comparables")	
141	Deal.UpdateMetrics	metrics=prompt("the metrics with askAnswer.totalMarketSize and askAnswer.growthRate behind the thesis")	
142	FundAccount.RecordTransaction	transaction=prompt("a reconciling entry for the difference between askAnswer.balance and the book")	guard=askAnswer.balance disagrees with the book
143	FundAccount.GenerateLpReport	reportPeriod=lpReportGenerated.reportPeriod	guard=askAnswer.filingStatus shows the period already filed
144	Fund.IssueCapitalCall	call=prompt("the call with askAnswer.fundId's account as the one to pay into")	guard=the call named no account to pay into
145	Fund.UpdateNAV	valuationDate=askAnswer.asOfDate,nav=askAnswer.nav	guard=askAnswer.nav differs from nAVUpdated.nav
146	PortfolioInvestment.AddMilestone	milestone=prompt("a milestone to clear askAnswer.pendingFilings")	guard=not askAnswer.isCompliant
147	PortfolioInvestment.MarkDown	newValuation=askAnswer.estimatedValuation,reason=prompt("market intelligence values it at askAnswer.estimatedValuation with askAnswer.confidenceLevel confidence")	guard=askAnswer.estimatedValuation differs from investmentMarkedDown.newValuation
148	PortfolioInvestment.RecordMetric	metric=prompt("the metric read against askAnswer.trendDirection in askAnswer.sector")	
149	FulfillmentOrder.UpdateShipmentStatus	currentLocation=askAnswer.currentLocation,statusUpdate=askAnswer.shipmentStatus,updatedAt=prompt("now")	
150	FulfillmentOrder.SelectCarrier	carrier=prompt("the cheapest of askAnswer.options that meets the service level")	
151	FulfillmentOrder.CancelFulfillment	reason=prompt("stock unavailable: askAnswer.unavailableItems")	guard=not askAnswer.available
152	+Return.RecordTrackingStatus	shipmentStatus:String(1,50)=askAnswer.shipmentStatus;lastLocation:String(1,200)=askAnswer.lastLocation	
153	FulfillmentOrder.PlaceOnHold	reason=prompt("stock short on the shelf: askAnswer.available against the picks")	guard=askAnswer.available is less than the picks assigned
154	FulfillmentOrder.ShipOrder	shipment=prompt("a shipment on the cheapest of askAnswer.rates")	
155	Supplier.QualifySupplier	criteria=prompt("the compliance criteria askAnswer checked"),qualifiedBy=prompt("the compliance registry")	guard=askAnswer.complianceStatus is compliant
156	Supplier.RecordPerformance	score=prompt("the score weighted by askAnswer.totalSpend over askAnswer.orderCount")	guard=the recorded score did not weigh spend
157	+InventoryItem.RecordProductInfo	productId:ProductId=askAnswer.productId;productName:String(1,200)=askAnswer.productName;sku:String(1,50)=askAnswer.sku	
158	InventoryItem.TriggerReplenishment	quantity=prompt("the shortfall the count found"),priority=prompt("normal")	guard=askAnswer.orderStatus shows nothing on order
159	Inventory.ReceiveStock	receipt=prompt("the receipt with askAnswer.barcode identifying the goods")	guard=the receipt lacked a barcode
160	Inventory.RequestReplenishment	request=prompt("a request for the shortfall, less askAnswer.expectedQuantity still on order")	guard=the count found a shortfall larger than askAnswer.expectedQuantity
161	Inventory.TransferStock	toLocation=askAnswer.recommendedLocation,quantity=prompt("the quantity received"),performedBy=prompt("the put-away team")	
162	Inventory.TransferStock	toLocation=prompt("a location with room"),quantity=stockTransferred.quantity,performedBy=prompt("the warehouse")	guard=askAnswer.availableCapacity is less than stockTransferred.quantity
163	+Inventory.RecordProductDetails	productName:String(1,200)=askAnswer.productName;sku:String(1,50)=askAnswer.sku;weight:Number=askAnswer.weight	
164	AssemblyOrder.HoldAssembly	hold=prompt("a hold for the components askAnswer shows unavailable")	guard=not askAnswer.available
165	AssemblyOrder.RecordDefect	defect=prompt("the defect classified against the code in askAnswer.codes that fits it")	guard=defectRecorded.defect carries no code
166	+AssemblyOrder.RecordInspectionPlan	checkpoints:QualityCheck+=askAnswer.checkpoints;passCriteria:String(1,500)=askAnswer.passCriteria	
167	+AssemblyOrder.RecordWorkOrderDetails	quantity:Natural=askAnswer.quantity;priority:String(1,50)=askAnswer.priority;workOrderStatus:String(1,50)=askAnswer.workOrderStatus	
168	BillOfMaterials.CalculateCost	costDate=bOMReleased.effectiveDate,includeSubassemblies=prompt("true")	
169	BillOfMaterials.UpdateItem	itemId=prompt("the item just added"),updatedItem=prompt("the item costed at askAnswer.totalCost")	
170	BillOfMaterials.ReviseBOM	newRevision=prompt("the next revision"),changeNumber=askAnswer.ecoNumber,changeDescription=askAnswer.title,revisedBy=prompt("engineering change control")	guard=the item change is not yet on a revision carrying askAnswer.ecoNumber
171	BillOfMaterials.UpdateItem	itemId=prompt("the item just added"),updatedItem=prompt("the item flagged short: askAnswer.onOrderQuantity on order, next receipt askAnswer.nextReceiptDate")	guard=not askAnswer.isAvailable
172	+BillOfMaterials.RecordBuildability	canBuild:Boolean=askAnswer.canBuild;shortComponents:ComponentId+=askAnswer.shortComponents;earliestBuildDate:Date?=askAnswer.earliestBuildDate	
173	BillOfMaterials.UpdateItem	itemId=itemUpdated.itemId,updatedItem=prompt("the item corrected to the component master in askAnswer")	guard=the updated item disagrees with askAnswer
174	+BillOfMaterials.RecordProductInfo	productType:String(1,50)=askAnswer.productType;unitOfMeasure:UnitOfMeasure=askAnswer.unitOfMeasure;productStatus:String(1,50)=askAnswer.productStatus	
175	WorkOrder.IssueMaterials	materials=prompt("the materials askAnswer.materials requires for the quantity")	
176	WorkOrder.PlaceOnHold	hold=prompt("a hold until the work centre is available at askAnswer.availableAt")	guard=askAnswer.equipmentStatus is not ready to run
177	WorkOrder.RecordQuality	quality=prompt("a quality record for the operation inspected per askAnswer.checkpoints with sample size askAnswer.sampleSize")	
178	WorkOrder.StartOperation	operationId=prompt("the first of askAnswer.operations"),operatorId=prompt("the operator at that centre")	
179	WorkOrder.ReleaseWorkOrder	schedule=prompt("a schedule fitting askAnswer.availableCapacity at the centre")	guard=askAnswer.availableCapacity covers the order
180	CNCMachine.PauseCycle	reason=prompt("preventive maintenance overdue per askAnswer"),pausedBy=prompt("the maintenance service")	guard=askAnswer.overdue
181	CNCMachine.UpdateMetrics	metrics=prompt("the run's metrics with askAnswer's control limits loaded")	
182	CNCMachine.ReportAlarm	alarm=prompt("a tool-life alarm for askAnswer.toolId with askAnswer.lifeRemaining left")	guard=askAnswer.lifeRemaining is too little for the program
183	CNCMachine.SetupMachine	tools=prompt("the tools with the offsets in askAnswer applied"),fixtures=machineSetup.fixtures,setupBy=machineSetup.setupBy	guard=the setup's offsets differ from askAnswer
184	PrecisionPart.UpdateInspectionPlan	inspectionPlan=prompt("the plan naming the program in askAnswer.programs that runs it"),reason=prompt("CMM program assigned")	guard=the plan names no CMM program
185	PrecisionPart.RecordCMMResult	cmmResult=prompt("the result annotated with askAnswer.lastCalibration and askAnswer.cmmStatus")	guard=askAnswer.cmmStatus casts doubt on the result
186	PrecisionPart.UpdateInspectionPlan	inspectionPlan=prompt("the plan written against askAnswer.standards"),reason=prompt("compliance standards applied")	
187	PrecisionPart.UpdateInspectionPlan	inspectionPlan=prompt("the plan extended with askAnswer.requiredMeasurements and askAnswer.requiredDocuments"),reason=prompt("certificate requirements applied")	
188	PrecisionPart.UpdateInspectionPlan	inspectionPlan=prompt("the plan with the gauges in askAnswer.gages replaced by ones in date"),reason=prompt("gauges due for calibration")	guard=askAnswer.gages names a gauge the plan uses
189	PrecisionPart.EvaluateTolerance	featureId=prompt("the feature measured"),evaluatedBy=prompt("the gage calibration service")	guard=askAnswer.nextCalibrationDue has passed
190	Asset.UpdateValuation	valuation=prompt("the valuation reconciled to askAnswer.currentBookValue")	guard=the valuation differs from askAnswer.currentBookValue
191	Asset.ScheduleDepreciation	schedule=prompt("a schedule starting when askAnswer.scheduledWork lets the asset enter service")	
192	Asset.RecordMaintenance	maintenance=prompt("the maintenance with askAnswer.totalCost and askAnswer.entryCount as its history")	guard=the record omitted the running cost
193	Asset.RegisterAsset	assetInfo=assetRegistered.assetInfo,financialInfo=prompt("the financial info with askAnswer.totalAmount as cost"),vendorId=askAnswer.vendorId,registeredBy=assetRegistered.registeredBy	guard=the registration's cost or vendor disagrees with askAnswer
194	Asset.TransferAsset	transfer=prompt("the transfer with askAnswer.warrantyTerms carried to the new holder")	guard=askAnswer.warrantyTerms is present
195	Batch.RecordParameter	parameter=prompt("the lot askAnswer.lotNumber and its expiry askAnswer.expirationDate for the ingredient charged")	
196	Batch.HoldBatch	hold=prompt("a hold pending the certificate: askAnswer.overallStatus")	guard=askAnswer.overallStatus is not a pass
197	Batch.StartProcessing	startedBy=batchCreated.createdBy,initialPhase=prompt("the first of askAnswer.phases")	
198	Batch.RecordParameter	parameter=prompt("the recipe version among askAnswer.versions that made the batch")	
199	Inspection.InitiateNCR	nonConformance=prompt("a non-conformance carrying the open actions in askAnswer.capas forward"),initiatedBy=inspectionCreated.requestedBy	guard=askAnswer.totalCount is greater than zero
200	Inspection.InitiateNCR	nonConformance=prompt("the non-conformance linked to the open action in askAnswer.capas"),initiatedBy=prompt("the CAPA service")	guard=askAnswer.totalCount is greater than zero and the NCR names no CAPA
201	Inspection.CollectSample	sample=prompt("a sample scheduled for askAnswer.nextAvailable")	guard=askAnswer.availableSlots is greater than zero
202	Inspection.RecordTestResult	result=prompt("the result annotated with askAnswer.methodName and askAnswer.standardReference")	guard=the result named no method
203	Inspection.CollectSample	sample=prompt("the sample labelled with askAnswer.lotNumber and askAnswer.productCode")	guard=the sample lacked its lot
204	Inspection.RejectInspection	rejectedBy=inspectionRejected.rejectedBy,reason=prompt("shares the cause with askAnswer.lots")	guard=askAnswer.lots names lots not yet rejected
205	CutOrder.GenerateMarker	marker=prompt("a marker laid on the rolls in askAnswer.rolls"),generatedBy=prompt("the planner")	guard=askAnswer.totalLength covers the order
206	CutOrder.CutFabric	cutBy=prompt("the cutter"),layersSpread=prompt("the layers the marker plans"),fabricRollIds=prompt("the rolls in askAnswer.rolls"),wastePercent=prompt("the marker's waste")	
